nameCd,group,growthForm,size,part_Name1,part_Text1,part_Name2,part_Text2,part_Name3,part_Text3,part_Name4,part_Text4,part_Name5,part_Text5,part_Name6,part_Text6,part_Name7,part_Text7,part_Name8,part_Text8,part_Name9,part_Text9,part_Name10,part_Text10,simSp_comments,simSp_nameCd1,simSp_nameCd2,simSp_nameCd3,simSp_nameCd4,simSp_nameCd5,simSp_nameCd6,simSp_linkUri1,simSp_linkText1,simSp_linkUri2,simSp_linkText2,flowering,habitatEcology,nativity,notes_comments,notes_linkUri1,notes_linkText1,notes_linkUri2,notes_linkText2,notes_linkUri3,notes_linkText3,etymology_comments,etymology_linkUri1,etymology_linkText1,etymology_linkUri2,etymology_linkText2,etymology_linkUri3,etymology_linkText3,furtherInfo_comments,furtherInfo_linkUri1,furtherInfo_linkText1,furtherInfo_linkUri2,furtherInfo_linkText2,furtherInfo_linkUri3,furtherInfo_linkText3,furtherInfo_linkUri4,furtherInfo_linkText4,furtherInfo_linkUri5,furtherInfo_linkText5,furtherInfo_linkUri6,furtherInfo_linkText6,furtherInfo_linkUri7,furtherInfo_linkText7,furtherInfo_linkUri8,furtherInfo_linkText8,furtherInfo_linkUri9,furtherInfo_linkText9,furtherInfo_linkUri10,furtherInfo_linkText10,references_citation1,references_citation2,references_citation3,references_citation4,references_citation5,references_citation6,references_citation7,references_citation8,references_citation9,references_citation10,references_linkUri1,references_linkText1,references_linkUri2,references_linkText2,references_linkUri3,references_linkText3,references_linkUri4,references_linkText4,references_linkUri5,references_linkText5,references_linkUri6,references_linkText6,references_linkUri7,references_linkText7,references_linkUri8,references_linkText8,references_linkUri9,references_linkText9,references_linkUri10,references_linkText10,ilBn,ilCk,ilDk,ilDp,ilGd,ilKd,ilKk,ilKn,ilLk,ilMh,ilWl,inJs,inLk,inLp,inNt,inPt,inSj,inSk,miBr,wiKs,wiMw,wiRc,wiWk,wiWw
FOIN3,PLANT,DUMMYDATA,"Shrub, 2.4 - 3 m tall, 3 - 3.5 m wide, with spreading upright, arching branches.",Twigs,"somewhat square or 4-sided, yellowish brown, covered with raised lenticels; pith chambered in the internodes, solid at the nodes; however, pith character can alter with age.",Buds,"borne several together in the axils, light yellowish brown, tinged green, about 6 mm long, conical; bud scales overlapping, sometimes rather loosely.",Leaves,"opposite, stalked, medium to dark green above, paler below, 7.5 - 12.5 cm long, half as wide, oblong egg-shaped to oblong lance-shaped, base rounded to tapering, tip pointed, margins toothed (except lower ¼ of leaf), smooth. Leaves turn green or yellowish green in autumn, sometimes with a purple tinge.",Flowers,"have both male and female reproductive organs (perfect); in clusters of 2 to 6; bright yellow, 3 - 3.5 cm long, corolla 4-lobed; without scent.",Fruit,"a 2-celled capsule that splits open and releases winged seeds; brown, 8.5 mm long.",,,,,,,,,,,"Characteristics of <i>Forsythia x intermedia</i> are intermediate of the two parents, <i>F. suspensa</i> and <i>F. viridissima</i>. The pith of <i>F. x intermedia</i> is chambered at the internodes and solid at the nodes. The pith of <i>F. suspensa</i> is hollow throughout or solid at the nodes, while the pith of <i>F. viridissima</i> is chambered throughout.",FOSU,FOVI,,,,,,,,,"Late April to early May, before the flowers.","Introduced from cultivation. It rarely escapes, but will persist around old homesites, turning wild when the site is abandoned or removed. It is known to persist in a sandy blowout along the south side of the main parking area at Indiana Dunes State Park. It was also discovered in DuPage County, Illinois, spreading along a slope near the DuPage River, not far from an old homesite.",non-native,"<i>Forsythia x intermedia</i>, a hybrid between <i>F. suspensa</i>, a native of Japan, and <i>F. viridissima</i>, a native of Korea, is commonly cultivated for its beautiful spring flowers. All three taxa are routinely cultivated.",,,,,,,"<i>Forsythia</i> honors William Forsyth (1737-1804), Scottish superintendent of the Royal Gardens of Kensington Palace and author of <i>A Treatise on the Culture and Management of Fruit Trees</i>. <i>Intermedia</i> means intermediate in color, form, or habit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,,,,,,has other records,,,,,,,,
FRAM2,PLANT," Large tree,","Large tree, 18 - 30 m high, trunk diameter 0.6 - 1.2 m. Trunk straight, extending well into the crown. Crown pyramidal or egg-shaped, with thin branches.",Bark,"light to dark gray, thick, deeply furrowed with flat-topped, sometimes scaly, interwoven ridges that create a diamond-shaped pattern.",Twigs,"thin, stout, dark green, mostly hairless, becoming gray or light brown. All but the current year’s epidermis appears flaky, scaly, or peeling. Leaf scars are raised (giving the twigs a knobby appearance) with several bundle scars forming a U.",Buds,"dark brown, small, rounded, finely hairy. Terminal bud 5 - 14 mm long, blunt. Uppermost pair of lateral buds adjacent to terminal bud at nearly the same level.",Leaves,"opposite, pinnately compound, 20 - 38 cm long, with 5 - 9 leaflets. Leaflets short-stalked, green and smooth above, paler or whitish and sometimes hairy below, 7 - 13 cm long, 2.5 - 5 cm wide, egg-shaped to oblong lance-shaped, rounded or tapering at the base, pointed at the tip, margins shallowly toothed, thick, firm. Leaves turn yellow to purple in autumn.",Flowers,"either male or female, found on separate trees (dioecious); borne in a loose, branched inflorescence; purplish, tiny, without petals; calyx bell-shaped.",Fruit,,,"dry, single-seeded, winged (samara); in crowded, branched clusters; 2.5 - 5 cm long, narrow-cylindrical; wing enclosing the tip of seed cavity, but not extending to the base. Seed cavity relatively large compared with other <i>Fraxinus</i> species.",,,,,,,"<i>Fraxinus americana</i> is best identified by having short-stalked leaflets with pale or whitish undersides, twigs with raised leaf scars (giving them a knobby appearance), fruit with large seed cavities having a wing which doesn’t extend to the base, and a flaky, scaly, or peeling twig epidermis (except current year’s growth). <i>Fraxinus nigra</i> has unstalked leaflets, and fruit with a wing extending near the base of the seed cavity. <i>Fraxinus pennsylvanica</i> may have densely hairy shoots, and those without hairy shoots will not exhibit flaking or peeling of the epidermis. Also, the wing of its fruit encloses half or more of the seed cavity. <i>Fraxinus profunda</i> has conspicuously stalked leaflets, densely hairy shoots (current), and fruit with a wing often extending to the base of the seed cavity. <i>Fraxinus quadrangulata</i> has square twigs, and fruit with a wing extending to and around the base of the seed cavity.",FRNI,FRPE,FRPR,FRQU,,,,,,,"April to mid-May, before the leaves.","Dry to moist woods, valleys, and slopes.",native,"<i>Fraxinus americana</i> is one of the more common forest trees in the Chicago Region. Its durable wood is used for many things, such as furniture, baseball bats, tennis rackets, oars, interior trim, and tool handles. The emerald ash borer (<i>Agrilus planipennis</i>) is a serious insect threat to all native ashes (see link below).",Emerald Ash Borer,http://www.emeraldashborer.info/,,,,,<i>Fraxinus</i> is the Latin word for the Ash tree. <i>Americana</i> means “from America.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
FRNI,PLANT,DUMMYDATA,"Medium-sized tree, 12 - 20 m tall, trunk diameter 30 cm - 0.6 m. Trunk often leaning or crooked, extending to the top of the crown. Crown narrow, rounded, with many stout, straight branches.",Bark,"ashy gray, thin, fissured into soft, scaly plates that may flake off when rubbed.",Twigs,"stout, dark green, smooth, becoming light gray then dark gray and warty. Leaf scars oval, with several bundle scars forming a U.",Buds,"bluish black, small, conical, finely hairy. Terminal bud 4 - 10 mm long, pointed. Uppermost pair of lateral buds up to 1 cm below the base of terminal bud.",Leaves,"opposite, pinnately compound, 25 - 40 cm long, with 7 - 11 leaflets. Leaflets stalkless (except for the terminal), dark green and smooth above, paler with rusty hairs along the veins beneath, 7 - 15 cm long, 2.5 - 5 cm wide, oblong to oblong lance-shaped, tapering or rounded at the base, long-pointed at the tip, margins toothed, thin, firm. Leaves turn reddish brown in autumn.",Flowers,"either male, female, or bisexual; usually found on separate trees, but sometimes on the same tree (polygamodioecious); borne in an elongated, branched inflorescence; purplish, small, without petals.",Fruit,,,"dry, single-seeded, winged (samara); in open, branched clusters; 2.5 - 4.5 cm long, oblong, barely notched at the tip; wing broad, often twisted, extending near the base of the flat seed cavity.",,,,,,,"<i>Fraxinus nigra</i> is best identified by having unstalked leaflets, thin, ashy gray bark fissured into soft, scaly plates, and fruit with a broad, often twisted wing extending near the base of the flat seed cavity. <i>Fraxinus americana</i> has short-stalked leaflets with pale or whitish undersides, twigs with raised leaf scars, fruit with large seed cavities having a wing which doesn’t extend to the base, and a flaky, scaly, or peeling twig epidermis (except current year’s growth). <i>Fraxinus pennsylvanica</i> may have densely hairy shoots, and the wing of its fruit encloses half or more of the seed cavity. <i>Fraxinus profunda</i> has conspicuously stalked leaflets, densely hairy shoots (current), and fruit with a wing often extending to the base of the seed cavity. <i>Fraxinus quadrangulata</i> has square twigs, and fruit with a wing extending to and around the base of the seed cavity.",FRAM2,FRPE,FRPR,FRQU,,,,,,,"Late April, before the leaves.","Local in moist woods, swamps, fens, floodplains, and other mesic sites. However, its most characteristic habitat is on calcareous springy slopes.",native,"The wood of <i>Fraxinus nigra</i> is used for baskets, barrel hoops, woven chair bottoms, fence posts, cabinets, interior finish, and furniture. The emerald ash borer (<i>Agrilus planipennis</i>) is a serious insect threat to all native ashes (see link below).",Emerald Ash Borer,http://www.emeraldashborer.info/,,,,,"<i>Fraxinus</i> is the Latin word for ash. <i>Nigra</i> is Latin for black, referring to its dark brown heartwood.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records,,has other records,has other records,,has other records,has other records,,has other records
FRPE,PLANT,DUMMYDATA,"Medium-sized tree, 12 - 18 m tall, trunk diameter 30 cm - 0.6 m. Trunk straight, stout, sometimes slightly expanded at the base. Crown dense, rounded to irregular.",Bark,"brown or dark gray, thick, furrowed into scaly, interlacing ridges.",Twigs,"stout, ashy gray to reddish brown; current shoots may be densely hairy at first (persisting 1 - 3 years). Leaf scars are half-circles with a flat top, with several bundle scars forming a U. Epidermis of older, hairless twigs not peeling or flaking.",Buds,"dark brown, small, rounded, finely hairy. Terminal bud 3 - 8 mm long. Uppermost pair of lateral buds adjacent to terminal bud at nearly the same level.",Leaves,"opposite, pinnately compound, with smooth (sometimes hairy) leafstalks; 25 - 30 cm long, with 7 - 9 leaflets. Leaflets short-stalked, yellowish green, 7 - 15 cm long, 2.5 - 4.5 cm wide, oblong lance-shaped to egg-shaped, tapering at the base, long-pointed at the tip, margins slightly toothed, thin, firm, hairy on both surfaces. Leaves turn yellowish brown in autumn.",Flowers,"either male or female, found on separate trees (dioecious); borne in a downy, branched inflorescence; purplish or greenish, tiny; calyx cup-shaped.",Fruit,,,"dry, single-seeded, winged (samara); in open, branched clusters; 2.5 - 5 cm long, narrow-cylindrical; wing enclosing half or more of seed cavity.",,,,,,,"<i>Fraxinus pennsylvanica</i> is best identified by having short-stalked leaflets, densely hairy current shoots (some trees), and fruit with a wing enclosing half or more of the seed cavity. The epidermis of older, hairless twigs does not peel or flake. <i>Fraxinus americana</i> has pale or whitish undersides, twigs with raised leaf scars, fruit with large seed cavities having a wing which doesn’t extend to the base, and a flaky, scaly, or peeling twig epidermis (except current year’s growth). <i>Fraxinus nigra</i> has unstalked leaflets, and fruit with a wing extending near the base of the flat seed cavity. <i>Fraxinus profunda</i> has longer, wider, more leathery leaflets, densely hairy shoots (current), and fruit with a wing often extending to the base of the seed cavity. <i>Fraxinus quadrangulata</i> has square twigs, and fruit with a wing extending to and around the base of the seed cavity.",FRAM2,FRNI,FRPR,FRQU,,,,,,,"April to mid-May, after the leaves have begun to open.","Frequent in woods, usually not far from water.",native,"<i>Fraxinus pennsylvanica</i> is the most widely distributed native ash in North America. It has both hairless (called green ash) and hairy (red ash) forms, observable on twigs, leaf parts, and flower and fruit branchings. The hairless form, green ash, is often planted as an ornamental. The wood of <i>F. pennsylvanica</i> is used for tool handles, interior finishing, furniture, oars, paddles, tennis rackets, and baseball bats. The emerald ash borer (<i>Agrilus planipennis</i>) is a serious insect threat to all native ashes (see link below).",Emerald Ash Borer,http://www.emeraldashborer.info/,,,,,<i>Fraxinus</i> is the Latin word for ash. <i>Pennsylvanica</i> means “of or from Pennsylvania.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records,has other records,,has other records
FRPR,PLANT,DUMMYDATA,"Medium-sized to large tree, 12 - 30 m tall, trunk diameter 30 cm - 0.6 m. Trunk straight or crooked, with a swollen, buttressed base. Crown narrow, rounded, with stout spreading branches.",Bark,"gray, thick, with diamond-shaped furrows between scaly ridges.",Twigs,"stout, ashy gray to brown; current shoots densely hairy (persisting 1 - 3 years). Leaf scars half-circles deeply notched on top, with several bundle scars forming a U. Epidermis of older twigs not peeling or flaking.",Buds,"light reddish brown, small, rounded, slightly hairy.",Leaves,"opposite, pinnately compound, with densely hairy leafstalks; 25 - 40 cm long, with 7 - 9 leaflets. Leaflets stalked, yellowish green and smooth above, paler and hairy beneath (especially along midrib), 8 - 20 cm long, 5 - 8 cm wide, lance-shaped to elliptical, rounded or tapering at the base, long-pointed at the tip, margins smooth or blunt-toothed, thick. Leaves turn yellow in autumn.",Flowers,"either male or female, found on separate trees (dioecious); borne in a downy, branched inflorescence; greenish purple, small, without petals.",Fruit,,,"dry, single-seeded, winged (samara); in open, branched clusters; 5 - 8 cm long, oblong, rounded at the tip; wing enclosing half or more of the seed cavity, often extending to the base.",,,,,,,"<i>Fraxinus profunda</i> is best identified by having conspicuously stalked leaflets, densely hairy current shoots (persisting 1 - 3 years), and fruit with a wing enclosing half or more of the seed cavity (often extending to the base). Also, its trunk may exhibit a swollen, buttressed base. <i>Fraxinus americana</i> has short-stalked leaflets with pale or whitish undersides, twigs with raised leaf scars, fruit with large seed cavities having a wing which doesn’t extend to the base, and a flaky, scaly, or peeling twig epidermis (except current year’s growth). <i>Fraxinus nigra</i> has unstalked leaflets, and fruit with a wing extending near the base of the flat seed cavity. <i>Fraxinus pennsylvanica</i> may or may not have densely hairy shoots, and its leaves are not as long, wide, or leathery as <i>F. profunda</i>. <i>Fraxinus quadrangulata</i> has square twigs, and fruit with a wing extending to and around the base of the seed cavity.",FRAM2,FRNI,FRPE,FRQU,,,,,,,"Early spring, before or with the leaves.","Mainly occurs in wet bottomland sites. It is known only from Kankakee County, Illinois and Starke and Porter counties in Indiana. The Kankakee County specimen was found in the Momence bottomlands of the Kankakee River. Otherwise, it occurs in the lower Wabash River and Ohio River drainages. In southern Illinois and other parts of its range it occurs in floodplains and swamps.",native,"The common name of <i>Fraxinus profunda</i> refers to its swollen, pumpkin-like trunk base. Its wood is used for furniture, fuel, boxes, crates, and pulp. The emerald ash borer (<i>Agrilus planipennis</i>) is a serious insect threat to all native ashes (see link below).",Emerald Ash Borer,http://www.emeraldashborer.info/,,,,,"<i>Fraxinus</i> is the Latin word for ash. <i>Profunda</i> is Latin for deep or profound, and refers to the tree’s swampy habitat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,,,,has other records,,,,,,,
FRQU,PLANT,DUMMYDATA,"Small to medium-sized tree, 10 - 20 m tall, trunk diameter 30 - 50 cm. Crown narrow, rounded, with many short, sturdy branches.",Bark,"light gray tinged with red, moderately thin, irregularly divided into large, scaly plates that give the trunk a slightly shaggy appearance.",Twigs,"stout, square, with short, corky ridges extending between the nodes, orangish with rusty hairs, becoming brownish gray, smooth. Leaf scars crescent-shaped, with several bundle scars forming a U.",Buds,"dark reddish brown, small, rounded, slightly hairy. Terminal bud 6 - 8 mm long, blunt. Uppermost pair of lateral buds adjacent to terminal bud at nearly the same level.",Leaves,"opposite, pinnately compound, 20 - 38 cm long, with 5 - 11 leaflets (usually 7). Leaflets short-stalked, yellowish green above, paler with tufts of hairs along the veins beneath, 7 - 13 cm long, 2.5 - 5 cm wide, oblong egg-shaped to lance-shaped, tapering at the base, long-pointed at the tip, margins coarsely toothed, thick, firm. Leaves turn yellow in autumn.",Flowers,"have both male and female reproductive organs (perfect); borne in a branched inflorescence; purplish, small, without petals.",Fruit,,,"dry, single-seeded, winged (samara); in open, long, branched clusters; 2.5 - 5 cm long, oblong, notched at the tip; wing broad, often twisted, extending to the base of the flat seed cavity and surrounding it.",,,,,,,The square stems of <i>Fraxinus quadrangulata</i> immediately distinguishes it from any other ash in the Chicago Region.,,,,,,,,,,,"April to mid-May, as leaves begin to unfold.",Typically found in calcareous woodlands and wet-mesic sites.,native,"The inner bark of <i>Fraxinus quadrangulata</i> was once soaked in water to produce a blue dye, and its sap will turn blue when exposed to the air. The wood is used for flooring and interior finish, and the tree is sometimes planted as an ornamental. The emerald ash borer (<i>Agrilus planipennis</i>) is a serious insect threat to all native ashes (see link below).",Emerald Ash Borer,http://www.emeraldashborer.info/,,,,,"<i>Fraxinus</i> is the Latin word for ash. <i>Quadrangulata</i> is Latin for “four-angled,” which refers to the square twigs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,,,has other records,,has other records,,has other records,,,,,,has other records
LIOB,PLANT,DUMMYDATA,"Shrub, 3 - 3.5 m tall, 3.5 - 4.5 m wide. Multistemmed with wide-spreading branches.",Bark,"light grayish brown, smooth.",Twigs,"green and hairy when young, becoming gray and less hairy with age.",Leaves,"opposite, nearly stalkless, medium to dark green, 2.5 - 5 cm long, 0.75 - 2.5 cm wide, elliptic to oblong, base tapering or broadly tapering, tip pointed or rounded, margins non-toothed, smooth above, hairy beneath (or only on midrib). Leaves turning reddish brown in autumn.",Flowers,"have both male and female reproductive organs (perfect); on short axillary branches; clustered in a nodding, branched inflorescence; white, small, tubular, petals 4, unpleasant odor. The flower tube is 2 - 3 times as long as the lobes.",Fruit,"a berry-like drupe; in clusters on short axillary branches; black to bluish black, slightly waxy, 6.5 mm long, spherical.",,,,,,,,,,,"Without flowers, this species can be difficult to distinguish from <i>Ligustrum vulgare</i>. The flower tube is 2 - 3 times as long as the lobes; on <i>L. vulgare</i> the flower tube is equal to or shorter than the lobes. In general, <i>L. obtusifolium</i> has more blunt-tipped and oblong, nearly stalkless, leaves than <i>L. vulgare</i>.",LIVU,,,,,,,,,,Mid to late June.,"Occasionally escapes from cultivation and may be found in thickets, fields, woodland edges, disturbed sites, and along waterways.",non-native,Introduced from Asia and cultivated in the Chicago Region.,,,,,,,<i>Ligustrum</i> is the Latin word for privet. <i>Obtusifolium</i> means blunt-leaved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,,,,,,,has other records,,,,has other records,,,,,,
LIVU,PLANT,DUMMYDATA,"Shrub, 3.5 - 4.5 m tall, 3.5 - 4.5 m wide. Stout with irregularly spreading branches.",Bark,"light grayish brown, smooth.",Twigs,"green and minutely hairy when young, becoming gray and hairless with age.",Leaves,"opposite, short-stalked, dark green, 2.5 - 6 cm long, 0.5 - 1.5 cm wide, oblong egg-shaped to lance-shaped, tip rounded to pointed, margins non-toothed, glossy, smooth. Leaves turning purplish in autumn.",Flowers,"have both male and female reproductive organs (perfect); on short axillary branches; borne in a dense, terminal, branched inflorescence; white, small, tubular, petals 4, unpleasant odor. The flower tube is equal to or shorter than the lobes.",Fruit,"a berry-like drupe; in clusters on short axillary branches; lustrous black, 8.5 mm long, spherical.",,,,,,,,,,,"Without flowers, this species can be difficult to distinguish from <i>Ligustrum obtusifolium</i>. The flower tube is equal to or shorter than the lobes; on <i>L. obtusifolium</i> the flower tube is 2 - 3 times as long as the lobes. In general, <i>L. obtusifolium</i> has more blunt-tipped and oblong, nearly stalkless, leaves than <i>L. vulgare</i>.",LIOB,,,,,,,,,,Mid June.,"Occasional in woods, where birds are responsible for its dispersal. Other habitats include vacant lots, old fields, dunes, and along fences. Also found along rivers and other moist sites.",non-native,Introduced from Europe and cultivated in the Chicago Region. Anthracnose twig blight (<i>Glomerella cingulata</i>) is serious on this species.,,,,,,,<i>Ligustrum</i> is the Latin word for privet. <i>Vulgare</i> means common.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records,,has other records,has other records,has other records,has other records,,has other records,,,,,,has other records
VP-99,PLANT,DUMMYDATA,"Shrub, to 3 m tall. Vigorous, upright growth.",Twigs,"purplish when young, becoming smooth or slightly downy with age.",Leaves,"opposite, short-stalked, dull dark green and slightly hairy to smooth above, paler and densely hairy beneath (or just on midrib or veins), 5 - 12 cm long, 1.27 - 5.08 cm wide, elliptic to egg-shaped oblong, base broadly tapering or rounded, tip pointed, margins non-toothed.",Flowers,"have both male and female reproductive organs (perfect); borne in a 10 - 15 cm long, hairy-branched inflorescence; lilac-purple, 8 - 10 mm long, tubular, 4-lobed, lobes recurved, pleasing fragrance.",Fruit,"a capsule that splits open and releases seed, 1 cm long, oblong, pointed, warty.",,,,,,,,,,,,,"<i>Syringa velutina</i> only reaches a height of about 3 meters, while <i>S. vulgaris</i> grows up to 7 meters. Also, <i>S. velutina</i> has leaves with densely hairy undersides (usually), unlike <i>S. vulgaris</i>, whose leaves are smooth on both surfaces.",SYVU,,,,,,,,,,May to June.,"In general, <i>Syringa</i> species thrive best in moist soils.",non-native,Introduced from Asia.,,,,,,,"<i>Syringa</i> means lilac. It derives from the Greek word <i>syrinx</i> (pipe), and refers to the hollow stems. <i>Velutina</i> means velvety.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,,,,,,,,,,,,,,
SYVU,PLANT,DUMMYDATA,"Shrub or small tree, 2.5 - 7 m tall, 2 - 4 m wide. Upright, leggy, with an irregular shape.",Twigs,"stout, angled, appearing 4-sided during first year, lustrous brown, smooth, with small raised lenticels. Leaf scars raised, crescent-shaped. Pith solid, white.",Buds,"reddish brown, 1.5 - 3 mm long, egg-shaped. Terminal buds in pairs, reddish brown, 6 - 8 mm long, egg-shaped, plump, somewhat 4-sided, with overlapping scales.",Leaves,"opposite, stalked, dark green to almost bluish green, 5 - 12 cm long, to as wide, egg-shaped or broadly egg-shaped, base flat or heart-shaped to broadly tapering, tip pointed, margins non-toothed, smooth.",Flowers,"have both male and female reproductive organs (perfect); borne in a 10 - 20 cm long, branched inflorescence; lilac, about 1 cm long, tubular, 4-lobed, very fragrant.",Fruit,"a smooth, beaked, 2-chambered capsule that splits open and releases seed, 1 - 1.5 cm long.",,,,,,,,,,,"<i>Syringa vulgaris</i> reaches a height of 7 meters, while <i>S. velutina</i> will only grow to about 3 meters. Also, <i>S. vulgaris</i> has smooth leaves, unlike <i>S. velutina</i>, whose leaves are densely hairy underneath (usually).",VP-99,,,,,,,,,,May,"Often planted as an ornamental. Many of the mapped records are based on plants that have persisted after homesite abandonment. A few plants were found growing in sandy soils near Lake Michigan. In general, <i>Syringa</i> species thrive best in moist soils.",non-native,Introduced from Europe. There are about 800 different cultivars known to come from <i>Syringa vulgaris</i>.,,,,,,,"<i>Syringa</i> means lilac. It derives from the Greek word <i>syrinx</i> (pipe), and refers to the hollow stems. <i>Vulgaris</i> means common.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,has other records,,,,,has other records,,,has other records,,has other records,,has other records,has other records,,,,has other records,,,has other records
