NAME_CD	NAME	SOURCE_CD
ABBA	balsam fir	UP
ABELM	okra	UP
ABES	okra	UP
ABIES	fir	UP
ABTH	velvetleaf	UP
ABUTI	Indian mallow	UP
ACALY	copperleaf	UP
ACAM	sweetflag	UP
ACANT3	starburr	UP
ACAR2	basil thyme	UP
ACAU2	Paraguayan starburr	UP
ACBA3	southern sugar maple	UP
ACCA4	calamus	UP
ACCA5	hedge maple	UP
ACDE4	Deam's threeseed mercury	UP
ACER	maple	UP
ACFI	fernleaf yarrow	UP
ACFR	Freeman maple	UP
ACGI	Amur maple	UP
ACGR2	slender threeseed mercury	UP
ACHIL	yarrow	UP
ACHNA	needlegrass	UP
ACHY	Indian ricegrass	UP
ACICA	acicarpha	UP
ACINO	acinos	UP
ACLI2	Ligurian yarrow	UP
ACMI2	common yarrow	UP
ACMIB	boreal yarrow	UP
ACMIM2	common yarrow	UP
ACMIN	common yarrow	UP
ACMIO	western yarrow	UP
ACMO4	slender threeseed mercury	UP
ACNA	Venus' chariot	UP
ACNE2	boxelder	UP
ACNEI2	boxelder	UP
ACNEN	boxelder	UP
ACNEV	boxelder	UP
ACNI5	black maple	UP
ACNO2	northern blue monkshood	UP
ACONI	monkshood	UP
ACORU	sweetflag	UP
ACOS	pineland threeseed mercury	UP
ACPA	white baneberry	UP
ACPA2	Japanese maple	UP
ACPE	striped maple	UP
ACPL	Norway maple	UP
ACPS	sycamore maple	UP
ACPT	sneezeweed	UP
ACRE	trailing white monkshood	UP
ACRE3	hardheads	UP
ACRH	Virginia threeseed mercury	UP
ACROP	hardheads	UP
ACRU	red maple	UP
ACRU2	red baneberry	UP
ACRUD	Drummond's maple	UP
ACRUR	red maple	UP
ACRUR2	red baneberry	UP
ACRUT	red maple	UP
ACSA2	silver maple	UP
ACSA3	sugar maple	UP
ACSAS	sugar maple	UP
ACSAS2	sugar maple	UP
ACSP2	mountain maple	UP
ACTAE	baneberry	UP
ACTR2	madam gorgon	UP
ACUN	southern blue monkshood	UP
ACUNM	southern blue monkshood	UP
ACUNU	southern blue monkshood	UP
ACVI	Virginia threeseed mercury	UP
ADAL	Aleutian maidenhair	UP
ADBI	American trailplant	UP
ADENO	trailplant	UP
ADFU	allegheny vine	UP
ADIAN	maidenhair fern	UP
ADLUM	adlumia	UP
ADMO	muskroot	UP
ADOXA	adoxa	UP
ADPE	northern maidenhair	UP
AECY	jointed goatgrass	UP
AECY2	fool's parsley	UP
AEFL	yellow buckeye	UP
AEGIL	goatgrass	UP
AEGL	Ohio buckeye	UP
AEGLG	Ohio buckeye	UP
AEGOP	goutweed	UP
AEHI	horse chestnut	UP
AEPA	red buckeye	UP
AEPA2	bottlebrush buckeye	UP
AEPAP	red buckeye	UP
