NAME_CD	IL_STATUS	IN_STATUS	MI_STATUS	WI_STATUS	FEDERAL_STATUS	TE_NOTES
ACRU2		R  				
ACUN		E  				
ADFU		x  	SC 	SC 		
AGAU3		E  				name used on IN state list
AGGA			E  	T  		
AGNE2				T  		
AGPA6				SC 		
AGRO3			SC 			
AGSK	T  	E  	E  	E  		
ALINR	E  					
ALSC			T  			
AMBR	E  					
AMCA6			SC 			
AMHU2		E  				
AMIN2	T  					
AMRO3				SC 		
AMSA	E  					
ANCA9		X  		E  		
ANGL		R  				
ANOC2		T  	E  			
ARALA2						
ARAQ		E  				name used on IN state list
ARDI4			X  	SC 		
ARDR		E  				name used on IN state list
ARDR4	E  			SC 		
ARFR4				SC 		
ARGL		T  				name used on IN state list
ARHI2		E  				
ARIN8		R  				name used on IN state list
ARLA22			T  	E  		name used on MI and WI state lists
ARLO2			T  			
ARLOG		R  				synonym used on IN state list
ARLU			T  			
ARMID		E  	SC 	SC 		name used on IN
ARPA27	T  	E  				name used on IN list; synonym used on IL list
ARPES			T  			name in widest sense used on MI state list (i.e. A. perstellata - though all are var. shortii in MI) 
ARSE3			T  			
ARSH2				SC 		name used on WI state list
ARST8		R  				
ARTU		R  	T  			
ARUV	E  	R  				
ASBO7		R  				synonym used on IN state list
ASCA11			T  			
ASCRT	E  					
ASDI4	E  					
ASDUS				SC 		
ASFU	T  	R  	T  	T  		
ASHI			T  			
ASJU		R  				name used on IN state list
ASLA3	E  			T  		
ASME	E  	SRE			T  	
ASNE2			SC 	E  		
ASOB2		R  				
ASOV	E  		E  	T  		
ASPR2			SC 			
ASPU2			SC 	E  		
ASRH2			T  			
ASSC2		E  				
ASSE2		R  	T  			
ASSU3			T  	T  		
ASTE7	E  	SRE				
AUGRP		X  				
AZCA		T  				
BAALM			SC 			synonym used on MI state list
BABRG			E  			synonym used on MI state list
BALA2			SC 			name used on MI state list
BALE3			E  			name used on MI state list
BARO		E  				
BATI	E  			SC 		
BAVI3				SC 		
BEAL2	E  					
BEBU	T  	E  	T  	T  		
BECA2	E  	E  				
BEER			T  			
BEPO		X  				
BESY	E  		T  			
BOCA5	E  		T  	E  		
BOCU			T  			
BODR		E  				synonym used on IN state list
BOGR2	E  					
BOMA2	E  	T  				
BOMU	E  	X  				name used on IL state list; synonym used on IN state list
BOMUI		X  				name used on IN state list
BOSI	E  	E  				
BREUC			SC 			synonym used on MI state list
BUAM		E  	X  			
CAAL23				SC 		name used on WI state list
CAAL3	E  					
CAAL5			T  			
CAAL8		E  				
CAAR3		E  				
CAAR33				SC 		name used on WI state list
CAAT2		E  				
CAATA2		T  				
CAATC		E  				
CAAU3	T  	R  				
CABE2		T  				
CABR14	T  					
CABR15	E  	E  				
CABU5		E  				
CACA14				T  		
CACAD	E  					name used on IL state list
CACAD2	E  					synonym used on IL state list
CACE2		T  				synonym used on IN state list
CACH5	E  	E  				
CACO13			T  			
CACO14		E  				
CACO7	T  					
CACR3		T  		SC 		
CACR4	E  					
CACR8			T  	E  		
CACR9	E  					
CACU3	E  	E  		SC 		
CADA			SC 			
CADE12			E  			
CADER		T  				
CADI4	E  					
CAED	T  			SC 		
CAHE3			T  	T  		
CALA47			T  			name used on MI state list
CALO5				SC 		
CALOM				T  		
CALU3		R  	T  	E  		
CAMU23				SC 		
CAOL2			T  			
CAOL3	E  					
CAPA	E  	E  				
CAPA17				SC 		synonym used on WI state list
CAPAN2				SC 		name used on WI state list
CAPE11				SC 		synonym used on WI state list
CAPE4		R  				
CAPL			SC 	T  		name used on MI state list; synonym used on WI state list
CAPL5			T  	SC 		
CAPR12	T  			T  		
CAPR3				SC 		
CAPRP2	E  					
CAPS		E  				
CARE4		E  				
CARI		E  	SC 	SC 		
CASC13		E  				
CASC5			T  	E  		
CASE12				SC 		
CASE5	E  					
CASE6		R  	T  			
CASP8		R  				
CASPC		T  				name used on IN state list
CASTI3			T  			synonym used on MI state list
CASU				SC 		
CATR		X  		SC 		
CATU10				T  		name used on WI state list
CATU5	E  					
CEEC2				SC 		
CEHE	E  	X  				
CETE			SC 			
CHAM2		T  				
CHCA2	T  					
CHLA5			T  			
CHMA3	E  					
CHPO6	E  			SC 		name used on IL state list; synonym used on WI state list
CHPR				SC 		
CHSE4		X  				synonym used on IN state list
CHUM	E  					
CHUMC2		T  				
CIAL	E  	X  				
CIHI		E  	SC 	T  		
CIPI	T  	T  	T  	T  	T  	
CIRA	E  					
CLAR5		E  		SC 		synonyms used on IN and WI state lists
CLBO3		E  				
CLPI		R  				
CLVU		E  				synonym used on IN state list
COAU2	E  					
COCA13	E  	E  				
COCA4				E  		
COCH2	E  	E  		E  		
COCO6	E  					
COER			X  	SC 		name used on MI list; synonym used on WI list
COERD				SC 		name used on WI list
COFL3			T  			
COMA4	T  					
COOD				SC 		
COPA10			T  			
COPE80	E  					
CORU		R  				
COSE5	E  	E  				
COTR3		X  				synonym used on IN state list
COTRV		X  				name used on IN state list
COVI6		T  				synonym used on IN state list
COVIV		T  				name used on IN state list
CRBI5		E  				IN recognizes this as a separate taxon from C. intricata
CRCH		E  				
CRIN3		R  				IN also lists a synonym of this as Endangered
CRPE		T  				
CRSA4				SC 		
CRST2			SC 			
CRSU5		R  				
CUCA2			SC 			MI apparently recognizes this separate from C. pentagona
CUGL3			SC 			
CUPE3			SC 			synonym also used on MI state list as a separate species
CUPO			SC 			
CYAC2		E  	X  			
CYAC3	E  					
CYCA5	T  	R  	T  	T  		
CYCAP		R  				name used on IN state list
CYDE2		E  				
CYFL			SC 			
CYHO		R  				
CYPA19		R  				synonym used on IN state list
CYPAM3	E  			SC 		
CYRE6	E  			SC 		
DAFO2	E  				E  	
DAMA			T  	SC 		
DAPU5			X  			
DECA18		R  		SC 		name used on WI state list; synonym used on IN state list
DECA8				SC 		
DECE		R  				name used on IN state list
DEFL	E  			SC 		
DIAM			T  			
DIBO	E  	R  				name used on IL state list; synonym used on IN state list
DIDI		R  		SC 		
DIFI			X  			
DILE2		T  	T  			synonym used on IN and MI state lists
DILO		R  				
DIPO4			E  			synonym used on MI state list
DITET				SC 		
DIPY				SC		
DITR4		T  				synonym used on IN state list
DIWI5		R  		SC 		synonym used on IN and WI state lists
DIYA	E  					name used on IL state list
DOME			E  			
DRCL		X  		SC 		
DRFI2			SC 	SC 		
DRRE2			T  			
ECAL				SC 		synonym used on WI state list
ECBE2		X  		SC 		name used on IN state list; synonym used on WI state list
ECPA				T  		
ECPA6		E  				name used on IN state list
ECPR				SC 		name used on WI state list
ECPU			X  			
ECRO				SC 		name used on WI state list
ECTE2	E  	E  	E  			name used on IL and MI state lists; synonym used on IN state list
ELCA2			T  			name used on MI state list
ELCO2			T  	SC 		
ELEN			SC 	SC 		
ELEQ		E  	SC 			
ELFLO2	E  			SC 		synonym used on IL and WI state lists
ELGE		T  	T  			name used on IN state list; synonym used on MI state list
ELME		T  	SC 			
ELMI2		E  	E  			
ELOL	E  			SC 		name used on IL and WI state lists
ELPA6	E  					name used on IL state list
ELQU				E  		
ELQU2	E  			SC 		name used on WI state list; synonym used on IL state list
ELRO		R  		SC 		
ELRO2	T  			T  		
ELTR7	T  					
ELWO		R  		E  		
EPAN2		E  				
EPCI		E  				
EPPA				SC 		
EPST	T  			SC 		
EQPA				SC 		
EQSC	E  					
EQSY	E  					
EQVA		E  		SC 		
ERAN6		R  				
ERAQ2		E  				synonym used on IN state list
ERBU				E  		
ERCA			SC 			
ERGR8		T  				
ERSE4		E  				name used on IN state list
ERSP8		X  				name used on IN state list
ERVA4		X  				synonym used on IN state list
ERVI8	E  					
ERVI9		R  				
ERYU			T  			
EUAT3			SC 			
EUCO8			T  	SC 		
EUFI			T  			
EUOB3		X  		SC 		
EUPO4				SC 		name used on WI state list
EUSE3			T  			
EUSE4		X  				name used on IN state list
EUSEB				SC 		
FIPU		E  	X  	E  		
FIRU2	E  		T  			
FRPR			T  			
FRQU				T  		
FRVEA4		X  				
FUPU		T  	T  	E  		
GALA3	E  					
GASP5			T  			
GEAL4		R  	E  	T  		name used on IN and WI state lists; synonym used on MI state list
GEBI2	E  	E  				
GEFL			E  			name used on MI state list
GEPU5		T  	E  			
GEQUO			T  			
GERI2		E  				
GERO		T  				
GESA			X  			
GLBO		E  				
GLGR		X  				
GLLE3				SC 		
GNMA		X  				
GRAU			T  			
GRVI			T  			
GYDI			SC 	SC 		
GYDI2	E  					synonym used on IL state list
GYDRD2	E  					name used on IL state list
HECOC8		X  				synonym used on IN state list
HEDR3		X  				name used on IN state list
HEGI	E  					
HEHI2			SC 			
HEMI5			SC 			name used on MI state list
HEMO2			T  			
HILA2			SC 			
HIMOM			SC 	SC 		
HIPA2			SC 			
