NAME_CD,SPM_ID,UPDATE_DATE,UPDATE_TIME,COLL_MONTH,COLL_DAY,COLL_YEAR,C1_FNAME,C1_MNAME,C1_LNAME,C2_FNAME,C2_MNAME,C2_LNAME,C3_FNAME,C3_MNAME,C3_LNAME,C4_FNAME,C4_MNAME,C4_LNAME,C5_FNAME,C5_MNAME,C5_LNAME,COLL_NBR,D1_FNAME,D1_MNAME,D1_LNAME,D2_FNAME,D2_MNAME,D2_LNAME,D3_FNAME,D3_MNAME,D3_LNAME,STATE,COUNTY,TOWNSHIP,CITY_TOWN,TWP_NBR,TWP_DIR,RANGE_NBR,RANGE_DIR,SEC_NBR,SEC_DTL,LAT_DIR,LAT_NBR,LONG_DIR,LONG_NBR,LOCALITY,HABITAT,SUBSTRATE,TYPE,ACC_HOMEPAGE,MORE_LOC,MORE_HAB,MORE_DESC,MORE_ASSOC,MORE_ANNOT,IMAGE_SMALL,IMAGE_BIG,CREATE_DATE,QUALIFIER
"ABORBIEN","1125124ABORBIEN","03/26/2007","18:43:16","09","26","1998","P","R","Leacock","","","","","","","","","","","","","3125","P","R","Leacock","","","","","","","IL","Cook","","Elk Grove","","","","","","","N","42.0167","W","87.9833","Busse Forest Nature Preserve (Cook County Forest Preserve District, Ned Brown Preserve)","Oak woodland with maple, basswood, walnut, ash.","soil","N","","N","N","N","N","N","","","12/30/2006",""
"ABORBIENDIST","1123565ABORBIENDIST","03/26/2007","18:43:15","08","13","1997","H","","Han","","","","","","","","","","","","","191","J","F","Murphy","","","","","","","IL","Will","","Channahon","","","","","","","N","41.3833","W","88.1333","Joliet Arsenal, near cemetary, Midewin National Tall Grass Prairie","Mixed Hardwoods","soil","N","","N","N","N","N","N","","","12/30/2006",""
"AGARABRU1","1207708AGARABRU1","03/26/2007","18:43:17","08","17","1935","A","E","Edgecombe","","","","","","","","","","","","","","","","","","","","","","","IL","Cook","","Braeside","","","","","","","","","","","","on hill","in humus","N","","N","N","N","N","N","","","12/30/2006",""
"AGARABRU1","1318399AGARABRU1","03/26/2007","18:43:16","09","","1911","E","T","Harper","S","A","Harper","","","","","","","","","","S-853","","","","","","","","","","IL","DeKalb","","Shabbona","","","","","","","","","","","Shabbona Grove","","","N","","N","N","N","N","N","","","12/30/2006",""
"AGARABRU1","1330121AGARABRU1","03/26/2007","18:43:17","10","12","1949","B","J","LeFrois","","","","","","","","","","","","","","","","","","","","","","","IL","Cook","","","","","","","","","","","","","St. Mary's Mission House","on lawn","","N","","N","N","N","N","N","","","12/30/2006",""
"AGARBERN","1207586AGARBERN","03/26/2007","18:43:15","07","13","1940","A","E","Edgecombe","","","","","","","","","","","","","","","","","","","","","","","IL","Cook","","Evanston","","","","","","","","","","","Northwestern University Campus","","","N","","N","N","N","N","N","","","12/30/2006",""
"AGARBITO","1116061AGARBITO","03/26/2007","18:43:13","06","2","1996","J","F","Murphy","","","","","","","","","","","","","1948","J","F","Murphy","","","","","","","IL","Cook","","","","","","","","","","","","","5400 S. Ellis","","soil","N","","N","N","N","N","N","","","12/30/2006",""
"AGARBITO","1116071AGARBITO","03/26/2007","18:43:14","06","5","1996","J","F","Murphy","","","","","","","","","","","","","1966","J","F","Murphy","","","","","","","IL","Cook","","Chicago","","","","","","","","","","","54th St., Hyde Park","under a spruce tree","soil","N","","N","N","N","N","N","","","12/30/2006",""
"AGARBITO","1116072AGARBITO","03/26/2007","18:43:15","06","13","1996","J","F","Murphy","","","","","","","","","","","","","1998","J","F","Murphy","","","","","","","IL","Cook","","","","","","","","","","","","","Rosevelt Road and Halsted, University of Illinois-Chicago Campus","","soil","N","","N","N","N","N","N","","","12/30/2006",""
"AGARBRUN","1053787AGARBRUN","03/26/2007","18:43:15","09","22","1983","R","","Singer","","","","","","","","","","","","","5133","R","","Singer","","","","","","","IL","Cook","","Evanston","","","","","","","","","","","Evanston","on street, away from lawn","","N","","N","N","N","N","N","","","12/30/2006",""
"AGARCAMP2","1059686AGARCAMP2","03/26/2007","18:43:15","09","15","1984","C","J","Niezgoda","","","","","","","","","","","","","","","","","","","","","","","IL","Cook","","LaGrange","","","","","","","","","","","LaGrange","","on the ground","N","","N","N","N","N","N","","","12/30/2006",""
