NAME_CD	GROUP_ID	GENUS	SPECIES	AUTHOR	SSP	SSP_AUTHOR	VAR	VAR_AUTHOR	F	F_AUTHOR	FAMILY_NAME	ACCEPTED_IND	ACCEPTED_IND_IFUN	IFUN_URI
ABORBIEN	1	Abortiporus	biennis	(Bull.) Singer							Meripilaceae	Y	N	
ABORBIENDIST	1	Abortiporus	biennis	(Bull.) Singer			distortus	(Schwein.) Graff.			Meripilaceae	N	N	
AGARABRU1	41	Agaricus	abruptibulbus	Peck							Agaricaceae	Y	N	
AGARBERN	65	Agaricus	bernardii	Quél.							Agaricaceae	Y	N	
AGARBITO	67	Agaricus	bitorquis	(Quél.) Sacc.							Agaricaceae	Y	N	
AGARBRUN	71	Agaricus	brunnescens	Peck							Agaricaceae	Y	N	
AGARCAMP2	74	Agaricus	campestris	L.							Agaricaceae	Y	N	
AGARCOMP3	82	Agaricus	comptulus	Fr.							Agaricaceae	Y	N	
AGARDIMI	89	Agaricus	diminutivus	Peck							Agaricaceae	Y	N	
AGARMICR	119	Agaricus	micromegethus	Peck							Agaricaceae	Y	N	
AGARPLAC	129	Agaricus	placomyces	Peck							Agaricaceae	Y	N	
AGARPOCI	132	Agaricus	pocillator	Murr.							Agaricaceae	Y	N	
AGARSILV2	153	Agaricus	silvicola	(Vittad.) Peck							Agaricaceae	Y	N	
AGROACER	186	Agrocybe	acericola	(Pk.)Sing.							Bolbitiaceae	Y	N	
AGROAEGE	187	Agrocybe	aegerita								Bolbitiaceae	Y	N	
AGROAMAR	188	Agrocybe	amara								Bolbitiaceae	Y	N	
AGROEREB	195	Agrocybe	erebia	(Fr.)Kuehn.							Bolbitiaceae	Y	N	
AGROHOWE	199	Agrocybe	howeana								Bolbitiaceae	Y	N	
AGROPALU	202	Agrocybe	paludosa								Bolbitiaceae	Y	N	
AGROPEDI	203	Agrocybe	pediades	(Pers.:Fr.) Fayod							Bolbitiaceae	Y	N	
AGROPRAE	204	Agrocybe	praecox	(Pers. ex Fr.) Fayod(Pers. ex Fr.) Fayod							Bolbitiaceae	Y	N	
ALEU1AURA	232	Aleuria	aurantia	(Fr.)Fkl.							Pyronemataceae	Y	N	
ALEU6OAKE	247	Aleurodiscus	oakesii	(Berkeley & Curtis) Hoehnel & Litschauer							Stereaceae	Y	N	
AMANABRU	262	Amanita	abrupta	Pk.							Pluteaceae	Y	N	
AMANAEST	263	Amanita	aestivalis	Singer ex Singer							Pluteaceae	Y	N	
AMANBISP	282	Amanita	bisporigera	Atk.							Pluteaceae	Y	N	
AMANBRUN	286	Amanita	brunnescens	G.F. Atk.							Pluteaceae	Y	N	
AMANBRUNBRUN	288	Amanita	brunnescens				brunnescens				Pluteaceae	Y	N	
AMANBRUNPALL	289	Amanita	brunnescens				pallida	Krieger			Pluteaceae	Y	N	
AMANCECI	297	Amanita	ceciliae	(Berk. & Br.) Bas							Pluteaceae	Y	N	
AMANCINE	299	Amanita	cinereoconia	Atkinson							Pluteaceae	Y	N	
AMANCINECINE	300	Amanita	cinereoconia	Atkinson			cinereoconia				Pluteaceae	Y	N	
AMANCITR	303	Amanita	citrina								Pluteaceae	Y	N	
AMANCITRCITR	304	Amanita	citrina				citrina				Pluteaceae	Y	N	
AMANFARI	322	Amanita	farinosa	Schw.							Pluteaceae	Y	N	
AMANFLAV1	325	Amanita	flavoconia	G. F. Atk.							Pluteaceae	Y	N	
AMANFLAV2	327	Amanita	flavorubescens	Atk.							Pluteaceae	Y	N	
AMANFULV	334	Amanita	fulva	(Schff.)Seyot							Pluteaceae	Y	N	
AMANGEMM	335	Amanita	gemmata	(Fr.) Bertil.							Pluteaceae	Y	N	
AMANMAGN	360	Amanita	magnivelaris								Pluteaceae	Y	N	
