NAME_CD	GROUP_ID	GENUS	SPECIES	AUTHOR	SSP	SSP_AUTHOR	VAR	VAR_AUTHOR	F	F_AUTHOR	FAMILY_NAME	ACCEPTED_IND	ACCEPTED_IND_USDA	NAME_CD_USDA	INVASIVE
SHERA	37320	Sherardia		L.							Rubiaceae	Y	Y	SHERA	
SHAR2	37319	Sherardia	arvensis	L.							Rubiaceae	Y	Y	SHAR2	
RUPPI	35547	Ruppia		L.							Ruppiaceae	Y	Y	RUPPI	
RUMA5	35546	Ruppia	maritima	L.							Ruppiaceae	Y	Y	RUMA5	
RUMAB	35546	Ruppia	maritima	L.			brevirostris	Agardh			Ruppiaceae	N	N	RUMAB	
RUMAE	35546	Ruppia	maritima	L.			exigua	Fernald & Wieg.			Ruppiaceae	N	N	RUMAE	
RUMAI	35546	Ruppia	maritima	L.			intermedia	(Thed.) Aschers. & Graebn.			Ruppiaceae	N	N	RUMAI	
RUMAL	35546	Ruppia	maritima	L.			longipes	Hagstr.			Ruppiaceae	N	N	RUMAL	
RUMAO2	35546	Ruppia	maritima	L.			obliqua	(Schur) Aschers. & Graebn.			Ruppiaceae	N	N	RUMAO2	
RUMAP	35546	Ruppia	maritima	L.			pacifica	St. John & Fosberg			Ruppiaceae	N	N	RUMAP	
RUMAR	35546	Ruppia	maritima	L.			rostrata	Agardh			Ruppiaceae	N	N	RUMAR	
RUMAS2	35546	Ruppia	maritima	L.			subcapitata	Fernald & Wieg.			Ruppiaceae	N	N	RUMAS2	
RUPE14	35546	Ruppia	pectinata	Rydb.							Ruppiaceae	N	N	RUPE14	
PHELL	30251	Phellodendron		Rupr.							Rutaceae	Y	Y	PHELL	
PHAM2	30249	Phellodendron	amurense	Rupr.							Rutaceae	Y	Y	PHAM2	
PTELE	33238	Ptelea		L.							Rutaceae	Y	Y	PTELE	
PTTRT	33236	Ptelea	trifoliata	L.	trifoliata						Rutaceae	Y	Y	PTTRT	
PTTRM	33234	Ptelea	trifoliata	L.	trifoliata		mollis	Torr. & A. Gray			Rutaceae	Y	Y	PTTRM	
PTTO	33234	Ptelea	tomentosa	Raf.							Rutaceae	N	N	PTTO	
PTTRD	33234	Ptelea	trifoliata	L.			deamiana	Nieuwl.			Rutaceae	N	N	PTTRD	
PTTRT2	33235	Ptelea	trifoliata	L.	trifoliata		trifoliata				Rutaceae	Y	Y	PTTRT2	
VP-347	33235	Ptelea	trifoliata	L., sensu Fernald, also Swink & Wilhelm							Rutaceae	N	N		
ZANTH	42887	Zanthoxylum		L.							Rutaceae	Y	Y	ZANTH	
ZAAM	42867	Zanthoxylum	americanum	Mill.							Rutaceae	Y	Y	ZAAM	
VP-112	42867	Xanthoxylum	americanum	Mill.							Rutaceae	N	N		
POPUL	32323	Populus		L.							Salicaceae	Y	Y	POPUL	
POAL7	32305	Populus	alba	L.							Salicaceae	Y	Y	POAL7	yes
POALB	32305	Populus	alba	L.			bolleana	Lauche			Salicaceae	N	N	POALB	
POALP	32305	Populus	alba	L.			pyramidalis	Bunge			Salicaceae	N	N	POALP	
POBA2	32309	Populus	balsamifera	L.							Salicaceae	Y	Y	POBA2	
POCA33	91070	Populus	candicans	Aiton							Salicaceae	Y	N	POCA33	
POBAB2	91070	Populus	balsamifera	L.			balsamifera				Salicaceae	N	Y	POBAB2	
POBAC2	91070	Populus	balsamifera	L.			candicans	(Aiton) A. Gray			Salicaceae	N	N	POBAC2	
POBAF	91070	Populus	balsamifera	L.			fernaldiana	Rouleau			Salicaceae	N	N	POBAF	
POBAL	91070	Populus	balsamifera	L.			lanceolata	Marsh.			Salicaceae	N	N	POBAL	
POBAM	91070	Populus	balsamifera	L.			michauxii	(Dode) A. Henry			Salicaceae	N	N	POBAM	
POBAS2	91070	Populus	balsamifera	L.			subcordata	Hyl.			Salicaceae	N	N	POBAS2	
POMI7	91070	Populus	michauxii	Dode							Salicaceae	N	N	POMI7	
POTA2	91070	Populus	tacamahaca	Mill.							Salicaceae	N	N	POTA2	
POTAC	91070	Populus	tacamahaca	Mill.			candicans	(Aiton) Stout			Salicaceae	N	N	POTAC	
POTAL	91070	Populus	tacamahaca	Mill.			lanceolata	(Marsh.) Farw.			Salicaceae	N	N	POTAL	
POTAM2	91070	Populus	tacamahaca	Mill.			michauxii	(Dode) Farw.			Salicaceae	N	N	POTAM2	
POCA14	32297	Populus	x canescens	(Aiton) Sm. (pro sp.) [P. alba x P. tremula]							Salicaceae	Y	Y	POCA14	yes
POALC	32297	Populus	alba	L.			canescens	Aiton			Salicaceae	N	N	POALC	
POHY6	32297	Populus	hybrida	Bieb.							Salicaceae	N	N	POHY6	
PODE3	32313	Populus	deltoides	W. Bartram ex Marshall							Salicaceae	Y	Y	PODE3	
POGR4	32317	Populus	grandidentata	Michx.							Salicaceae	Y	Y	POGR4	
POGRA2	32317	Populus	grandidentata	Michx.			angustata	Victorin			Salicaceae	N	N	POGRA2	
POGRM4	32317	Populus	grandidentata	Michx.			meridionalis	Tidestrom			Salicaceae	N	N	POGRM4	
POGRS	32317	Populus	grandidentata	Michx.			subcordata	Victorin			Salicaceae	N	N	POGRS	
POHE5	32298	Populus	x heimburgeri	Boivin [P. alba x P. tremuloides]							Salicaceae	Y	Y	POHE5	
POHE4	32318	Populus	heterophylla	L.							Salicaceae	Y	Y	POHE4	
POAR15	32318	Populus	argentea	Michx. f.							Salicaceae	N	N	POAR15	
POJA2	32301	Populus	x jackii	Sarg. [P. balsamifera x P. deltoides]							Salicaceae	Y	Y	POJA2	
POAN18	32301	Populus	x andrewsii	Sarg.							Salicaceae	N	N	POAN18	
POBE5	32301	Populus	x bernardii	Boivin							Salicaceae	N	N	POBE5	
PODU5	32301	Populus	x dutillyi	Lepage							Salicaceae	N	N	PODU5	
POGE4	32301	Populus	x generosa	Henry							Salicaceae	N	N	POGE4	
POGI3	32301	Populus	x gileadensis	Rouleau							Salicaceae	N	N	POGI3	
POMA21	32301	Populus	manitobensis	Dode							Salicaceae	N	N	POMA21	
PONI	32319	Populus	nigra	L.							Salicaceae	Y	Y	PONI	yes
PODI8	32319	Populus	dilatata	Aiton							Salicaceae	N	N	PODI8	
POIT	32319	Populus	italica	(Du Roi) Moench							Salicaceae	N	N	POIT	
PONII	32319	Populus	nigra	L.			italica	Du Roi			Salicaceae	N	N	PONII	
POSM2	32304	Populus	x smithii	Boivin [P. grandidentata x P. tremuloides]							Salicaceae	Y	Y	POSM2	
POBA8	32304	Populus	x barnesii	W.H. Wagner							Salicaceae	N	N	POBA8	
POTR5	32322	Populus	tremuloides	Michx.							Salicaceae	Y	Y	POTR5	
POAU8	32322	Populus	aurea	Tidestrom							Salicaceae	N	N	POAU8	
POCE6	32322	Populus	cercidiphylla	Britton							Salicaceae	N	N	POCE6	
POPO12	32322	Populus	x polygonifolia	Bernard							Salicaceae	N	N	POPO12	
POTRA	32322	Populus	tremuloides	Michx.			aurea	(Tidestrom) Daniels			Salicaceae	N	N	POTRA	
POTRC2	32322	Populus	tremuloides	Michx.			cercidiphylla	(Britton) Sudworth			Salicaceae	N	N	POTRC2	
POTRI2	32322	Populus	tremuloides	Michx.			intermedia	Victorin			Salicaceae	N	N	POTRI2	
POTRM	32322	Populus	tremuloides	Michx.			magnifica	Victorin			Salicaceae	N	N	POTRM	
POTRR	32322	Populus	tremuloides	Michx.			rhomboidea	Victorin			Salicaceae	N	N	POTRR	
POTRT	32322	Populus	tremula	L.	tremuloides	(Michx.) A.& D. Love					Salicaceae	N	N	POTRT	
POTRV	32322	Populus	tremuloides	Michx.			vancouveriana	(Trel.) Sarg.			Salicaceae	N	N	POTRV	
POVA11	32322	Populus	vancouveriana	Trel.							Salicaceae	N	N	POVA11	
SALIX	35855	Salix		L.							Salicaceae	Y	Y	SALIX	
SAAL2	35732	Salix	alba	L.							Salicaceae	Y	Y	SAAL2	
SAALC	35732	Salix	alba	L.			caerulea	(Sm.) Sm.			Salicaceae	N	N	SAALC	
SAALC2	35732	Salix	alba	L.	caerulea	(Sm.) Rech. f.					Salicaceae	N	N	SAALC2	
SAALC3	35732	Salix	alba	L.			calva	G.F.W. Mey.			Salicaceae	N	N	SAALC3	
SAALV	35732	Salix	alba	L.			vitellina	(L.) Stokes			Salicaceae	N	N	SAALV	
SAALV2	35732	Salix	alba	L.	vitellina	(L.) Arcang.					Salicaceae	N	N	SAALV2	
SAVI80	35732	Salix	vitellina	L.							Salicaceae	N	N	SAVI80	
SAAM2	35733	Salix	amygdaloides	Anderss.							Salicaceae	Y	Y	SAAM2	
SAAMW	35733	Salix	amygdaloides	Anderss.			wrightii	(Anderss.) Schneid.			Salicaceae	N	N	SAAMW	
SANIA	35733	Salix	nigra	Marsh.			amygdaloides	(Anderss.) Anderss.			Salicaceae	N	N	SANIA	
SANIW	35733	Salix	nigra	Marsh.			wrightii	(Anderss.) Anderss.			Salicaceae	N	N	SANIW	
SAWR3	35733	Salix	wrightii	Anderss.							Salicaceae	N	N	SAWR3	
SABE2	35743	Salix	bebbiana	Sarg.							Salicaceae	Y	Y	SABE2	
MITCH	26162	Mitchella		L.							Rubiaceae	Y	Y	MITCH	
MIRE	26161	Mitchella	repens	L.							Rubiaceae	Y	Y	MIRE	
TIPUL	40369	Tipularia		Nutt.							Orchidaceae	Y	Y	TIPUL	
TIDI	40368	Tipularia	discolor	(Pursh) Nutt.							Orchidaceae	Y	Y	TIDI	
TIUN2	40368	Tipularia	unifolia	(Muhl.) Britton, Sterns & Poggenberg							Orchidaceae	N	N	TIUN2	
TRIPH	41137	Triphora		Nutt.							Orchidaceae	Y	Y	TRIPH	
TRTR3	41135	Triphora	trianthophora	(Sw.) Rydb.							Orchidaceae	Y	Y	TRTR3	
